"country","firearms","per100","military","lawEnf","pop2022"
"American Samoa","400","0.7000","","90","55.0300"
"Niger","117000","0.5000","11110","10000","26083.6600"
"Rwanda","66000","0.5000","66500","14000","13600.4640"
"Sierra Leone","35000","0.5000","10200","12000","8306.4360"
"Fiji","5000","0.5000","16700","2000","909.4660"
"Marshall Islands","300","0.5000","","80","60.0570"
"Palau","100","0.5000","","30","18.2330"
"Bangladesh","659000","0.4000","410305","333000","167885.6890"
"Ethiopia","377000","0.4000","525600","79000","120812.6980"
"Uzbekistan","127000","0.4000","268400","150000","34382.0840"
"Tajikistan","37000","0.4000","56490","9000","9957.4640"
"Turkmenistan","23000","0.4000","184700","27000","6201.9430"
"Eritrea","23000","0.4000","668550","12000","3662.2440"
"Japan","377000","0.3000","745514","252000","125584.8380"
"North Korea","76000","0.3000","8363100","76000","25990.6790"
"Malawi","47000","0.3000","24480","8400","20180.8390"
"Benin","33000","0.3000","8700","26000","12784.7260"
"Singapore","20000","0.3000","574140","9000","5943.5460"
"Timor-Leste","3000","0.3000","2527","4000","1369.4290"
"South Korea","79000","0.2000","2688020","115000","51329.8990"
"Solomon Islands","1000","0.2000","","70","721.1590"
"Indonesia","82000","0","1711450","429000","279134.5050"
"Taiwan","10000","0","2022150","76000","23888.5950"
